Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
-150436;Theodor-Heuss-Halle;D;25421;Pinneberg;Datumer Chaussee 2;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150435;Jahnhalle;D;25421;Pinneberg;Richard-Köhn-Straße 75;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150434;Thesdorf;D;25421;Pinneberg;Pestalozzistraße 7;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150433;Verbindungsstraße;D;25421;Pinneberg;Verbindungsstraße 12;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150432;Jupp-Becker-Halle;D;25421;Pinneberg;Mühlenstraße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150431;Johannes-Brahms-Halle;D;25421;Pinneberg;Fahltskamp 36;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150427;Rugenbergen;D;25474;Bönningstedt;Kieler Straße 81 / Peter-Hartmann-Weg;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150426;Bönningstedt;D;25474;Bönningstedt;Ellerbeker Straße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150424;Egenbüttel;D;25462;Rellingen;Schulweg;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150421;Ellerbek;D;25474;Ellerbek;Rugenbergener Mühlenweg;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150419;Sparrieshoop;D;25365;Klein Offenseth-Sparrieshoop;Rosenstraße 49a;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150418;Waldorfschule Elmshorn;D;25337;Elmshorn;Adenauerdamm 2;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150417;Ramskamp;D;25337;Elmshorn;Ramskamp 64;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150416;KGSE-Halle 2;D;25337;Elmshorn;Hainholzer Damm;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
